column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,SV1000,Khoa Hải Bùi,27/09/2003,09 7457 9208,dangjane@example.com,hà nội,,4.551,5.2921,Err,,
,SV1001,Quý cô Hương Đặng,10/12/2003,2 3815 6873,maijane@example.org,Hải Phòng,8.6772,2.5911,,Err,,
,SV1002,Nam Trần,2005-08-16,+84-73-982 5638,—,Hải Phòng,6.112,3.0486,9.2764,6.15,,
,SV1003,Tú Lê,11/10/2005,+84 05 8860084,—,HN,-3.2,0.0487,4.0957,0.31,,
,SV1004,Phương Mai Bảo Lê,13/03/2004,(00) 4680 9376,jle@example.com,Cần Thơ,5.3585,3.2529,-2.81,1.93,,
,SV1005,Nhật Đặng,2003-06-21,(03) 9701 9346abc,janehoang@example.net,CẦN THƠ,,5.7078,8.1989,Err,,
,SV1006,Tú Đặng,30/01/2004,+84-65-838 3172,dangjane@example.com,HCM,6.34,5.4848,6.9473,6.26,,
,SV1007,Chị Lan Dương,2006-04-07,+84 15 2824664,janemai@example.org,hải phòng,8.5081,6.1579,3.6027,6.09,,
,SV1008,Cô Hồng Bùi,32/13/2002,+84-8,emai@example.org,,6.0681,9.0736,100,38.38,,
,SV1009,Bà Bảo Mai,13/08/2003,03 5956 8782,hoangjohn@example.com,Ho Chi Minh City,,8.8006,,Err,,
,SV1010,Quý ông Khoa Dương,24/06/2005,(00),tranjohn@example.net,HÀ NỘI,6.8,3.5539,8.701,6.35,,
,SV1011,Anh Quang Vũ,21/09/2006,09 6079 2926,umai@example.org,Hà Nội,3.489,1.0009,6.8982,3.8,,
,SV1012,Hải Tấn Vũ,27/08/2005,(04) 3246 1075,jane12@example.org,Ho Chi Minh City,,9.4336,-4.69,Err,,
,SV1013,Nhật Mai Bảo Đặng,30/05/2004,+84-79-357795,jane95@example.com,CẦN THƠ,5.666,7.2589,9.2555,7.39,,
,SV1014,Châu Vũ,04/10/2003,+84-54-965 3521,janepham@example.com,HCM,3.9035,1.7656,0.7876,2.15,,
,SV1015,Bà Linh Trần,22/05/2006,6 17 434,johndang@example.org,Ho Chi Minh City,,5.5739,0.674,Err,,
,SV1016,Anh Hưng Lê,25/09/2006,(08) 5725 7289,janemai@example.com,tp hcm,7.6166,7.2058,1.61,5.48,,
,SV1017,Hưng Đức Dương,29/07/2007,(09) 5505 2115,jane21@example.com,Hà Nội,3.0054,4.2209,8.6803,5.3,,
,SV1018,Nhật Lê,28/09/2003,+84 0,johnmai@example.com,Đà Nẵng,5.9599,0.2989,5.2826,3.85,,
,SV1019,Thành Trần,06/10/2002,(05)2,nguyenjane@example.com,,9.6101,5.7766,0.1196,5.17,,
,SV1020,Trọng Trần,30/01/2002,(03) 7525 5238,johnvu@example.com,Đà Nẵng,,9.7076,6.289,Err,,
